symbol,ts,price,volume,exchange
MSFT,1700000043017,414.95,1871,NASDAQ
AAPL,1700000044010,443.44,3744,NYSE
TSLA,1700000044946,239.86,3828,NYSE
MSFT,1700000045070,259.39,4664,NYSE
GOOG,1700000045961,240.46,8446,NASDAQ
SPY,1700000046756,232.46,552,NYSE
GOOG,1700000047754,171.43,4449,NYSE
SPY,1700000047965,273.83,5239,NASDAQ
SPY,1700000048685,146.26,9546,NYSE
AAPL,1700000049045,383.51,127,NYSE
TSLA,1700000049517,127.99,5509,NASDAQ
AAPL,1700000050296,387.9,5020,NASDAQ
TSLA,1700000051078,230.47,4944,NYSE
TSLA,1700000051374,365.97,6311,NYSE
SPY,1700000052104,220.38,9077,NYSE
GOOG,1700000052515,184.07,9602,NASDAQ
TSLA,1700000053091,276.86,3601,NASDAQ
MSFT,1700000054003,363.54,4749,NASDAQ
MSFT,1700000054198,369.12,3780,NYSE
AAPL,1700000054448,118.49,7884,NYSE
TSLA,1700000055014,454.45,9531,NYSE
TSLA,1700000055849,297.75,4097,NYSE
AAPL,1700000056620,457.06,1846,NASDAQ
MSFT,1700000056944,421.64,8586,NASDAQ
SPY,1700000057095,199.68,2088,NASDAQ
TSLA,1700000057331,367.03,9257,NASDAQ
TSLA,1700000058204,345.06,8370,NASDAQ
SPY,1700000059154,278.37,2707,NASDAQ
GOOG,1700000059714,400.71,4643,NASDAQ
MSFT,1700000060455,209.84,1369,NASDAQ
GOOG,1700000060795,234.34,8949,NYSE
MSFT,1700000061036,192.5,2603,NYSE
TSLA,1700000061201,263.04,8990,NASDAQ
AAPL,1700000061726,182.73,6983,NASDAQ
SPY,1700000062614,478.42,420,NASDAQ
AAPL,1700000063202,477.1,4992,NASDAQ
TSLA,1700000064175,315.29,9047,NYSE
MSFT,1700000064774,209.17,8056,NYSE
GOOG,1700000065272,367.55,6724,NYSE
TSLA,1700000066232,467.82,8851,NYSE
SPY,1700000066735,325.76,544,NYSE
TSLA,1700000067493,154.28,7664,NYSE
GOOG,1700000067644,251.64,3567,NASDAQ
GOOG,1700000068078,404.49,6311,NASDAQ
TSLA,1700000068948,200.91,1441,NASDAQ
SPY,1700000069067,120.83,5833,NYSE
AAPL,1700000069832,412.49,759,NYSE
MSFT,1700000070185,435.69,2596,NYSE
TSLA,1700000070414,367.78,9340,NYSE
GOOG,1700000070990,406.76,2849,NYSE
MSFT,1700000071886,485.89,1871,NYSE
SPY,1700000072305,370.94,6249,NASDAQ
MSFT,1700000073137,130.4,4078,NYSE
GOOG,1700000073950,440.12,9937,NYSE
SPY,1700000074865,413.05,5788,NASDAQ
GOOG,1700000075642,127.58,5690,NYSE
TSLA,1700000076611,428.93,1829,NASDAQ
TSLA,1700000077081,382.92,7235,NYSE
SPY,1700000077932,486.19,4525,NASDAQ
TSLA,1700000078508,430.29,9807,NASDAQ
MSFT,1700000078938,432.29,1519,NASDAQ
MSFT,1700000079499,400.19,9436,NASDAQ
AAPL,1700000079943,297.72,5425,NYSE
MSFT,1700000080542,241.93,4332,NASDAQ
SPY,1700000080928,380.47,4626,NYSE
MSFT,1700000081557,134.25,6758,NASDAQ
MSFT,1700000082225,376.24,8141,NASDAQ
AAPL,1700000083136,137.22,3730,NASDAQ
MSFT,1700000083944,222.48,9628,NASDAQ
SPY,1700000084528,312.37,7071,NASDAQ
TSLA,1700000084988,208.37,4218,NYSE
MSFT,1700000085211,226.22,8879,NYSE
MSFT,1700000085507,395.44,4630,NASDAQ
MSFT,1700000085709,218.5,6012,NYSE
AAPL,1700000086118,383.21,2173,NASDAQ
AAPL,1700000086264,321.34,2168,NASDAQ
AAPL,1700000086469,329.63,7790,NASDAQ
GOOG,1700000087020,173.75,941,NASDAQ
TSLA,1700000088002,145.63,1170,NASDAQ
AAPL,1700000088605,330.81,978,NYSE
SPY,1700000088857,479.65,1495,NYSE
SPY,1700000089078,405.78,9866,NYSE
SPY,1700000089972,252.15,7353,NASDAQ
SPY,1700000090952,496.01,5103,NYSE
AAPL,1700000091676,479.04,3504,NYSE
AAPL,1700000092046,162.82,2947,NYSE
AAPL,1700000092306,263.41,9829,NASDAQ
AAPL,1700000092704,192.59,4732,NASDAQ
MSFT,1700000092876,469.56,9763,NYSE
AAPL,1700000093411,317.82,2541,NASDAQ
MSFT,1700000094357,128.56,2818,NASDAQ
SPY,1700000095066,468.48,7295,NYSE
GOOG,1700000095645,379.89,4560,NASDAQ
AAPL,1700000096193,339.21,7178,NASDAQ
GOOG,1700000096911,110.35,3850,NYSE
GOOG,1700000097794,330.5,2970,NASDAQ
TSLA,1700000098425,466.43,3073,NASDAQ
TSLA,1700000099175,487.62,7800,NASDAQ
GOOG,1700000099693,228.42,1813,NYSE
TSLA,1700000100130,377.47,4822,NASDAQ
SPY,1700000101063,114.68,1542,NASDAQ
GOOG,1700000101421,146.37,6722,NYSE
SPY,1700000102194,284.79,988,NYSE
GOOG,1700000102824,349.05,8267,NASDAQ
AAPL,1700000103702,181.42,9098,NYSE
TSLA,1700000104096,452.34,8041,NYSE
SPY,1700000104225,419.73,2694,NASDAQ
AAPL,1700000104889,320.9,1627,NYSE
AAPL,1700000105850,284.58,2024,NYSE
GOOG,1700000106460,303.55,4579,NASDAQ
TSLA,1700000107414,492.1,4093,NASDAQ
MSFT,1700000108078,253.43,9920,NYSE
AAPL,1700000109062,210.5,6898,NASDAQ
SPY,1700000109968,206.87,142,NASDAQ
GOOG,1700000110811,434.99,9601,NASDAQ
MSFT,1700000111797,278.62,8035,NASDAQ
SPY,1700000112237,405.15,6280,NASDAQ
MSFT,1700000112666,492.31,4012,NASDAQ
TSLA,1700000113005,117.46,7849,NASDAQ
MSFT,1700000113500,298.13,706,NYSE
SPY,1700000114114,232.8,1744,NASDAQ
